wl,g198_w,g498_w,g170_w,g934_w,g63_w,g454_w,g241_w,g5_w,g546_w,g968_w,g608_y,g654_y,g668_y,g16_y,g942_y,g859_y,g630_y,g674_y,g947_y,g354_y,g518_y,g181_y,g843_y,g26_y,g435_y,g64_y,g398_y,g604_y,g477_y,g227_y,g720_y,g357_y,g162_y,g607_y,g597_y,g65_y,g856_w,g728_w,g414_w,g871_w,g874_w,g741_w,g614_y,g168_y,g661_y
337,4.237748158,3.388694005,2.566049879,3.105004351,3.269295459,3.559789224,7.714426098,5.59474298,3.078145796,6.33014865,5.176334301,5.586986146,6.408520734,5.217090444,5.376737018,5.599848065,5.400519634,6.591845174,6.456277415,5.204061184,5.269101597,5.380677121,5.08221135,5.588302985,5.552267104,5.666827766,6.531620567,6.261933965,6.262903161,5.206667164,5.385212779,5.198803088,5.210452061,7.48411991,6.139745942,6.121677978,5.98983772,6.988751647,7.046374026,5.471241025,5.407926711,6.205599535,3.359505816,8.223334397,5.614966681
338,4.215665395,3.375699329,2.554123667,3.080720063,3.247165853,3.538828616,7.713462667,5.593508283,3.066757086,6.33548779,5.165756453,5.604162878,6.447857441,5.229909184,5.402675916,5.617157204,5.419380083,6.563285159,6.496946249,5.215872738,5.285476502,5.405247858,5.073536888,5.605344641,5.552793336,5.66833911,6.57444827,6.297073359,6.299280508,5.217921271,5.396617251,5.214195002,5.227466229,7.417521185,6.141861901,6.12504942,5.989290319,7.075476975,7.134099178,5.466966528,5.404131434,6.259033729,3.362736174,8.191673172,5.593827528
339,4.192919853,3.361876008,2.54187738,3.05636405,3.22412806,3.515870448,7.710589228,5.591531925,3.055128444,6.339869019,5.156801817,5.622879195,6.490101375,5.245357918,5.433025008,5.635942611,5.439751514,6.535077667,6.540620723,5.229451458,5.304396831,5.432765285,5.067538783,5.623860483,5.553397523,5.669457025,6.620442526,6.334807229,6.338388317,5.233207492,5.409085585,5.232544376,5.247449455,7.352692785,6.143052752,6.127247201,5.989493766,7.166313983,7.225865848,5.464369445,5.401771767,6.316343442,3.364154192,8.161804554,5.571938575
340,4.168277816,3.346182268,2.528734941,3.031174174,3.199365466,3.489895163,7.705509354,5.588599785,3.042316817,6.342585775,5.149073595,5.64335915,6.535216527,5.264844196,5.469844962,5.656363567,5.46245665,6.506941545,6.587263615,5.245487232,5.32691746,5.464153239,5.064252154,5.644025617,5.553783476,5.669951476,6.669563708,6.375103895,6.380401882,5.25475489,5.422803161,5.254919365,5.271404153,7.289217749,6.143225315,6.128052591,5.993628588,7.266702535,7.32680828,5.462667081,5.400160872,6.382979516,3.363333868,8.133169535,5.548884589
341,4.142109666,3.328961628,2.514868542,3.005362901,3.173189594,3.461403408,7.698486047,5.58483823,3.028599447,6.343900548,5.142475222,5.665317792,6.582806839,5.287652957,5.512036753,5.67816392,5.487055723,6.47890909,6.63646545,5.263538398,5.352402796,5.498783852,5.06334078,5.665579312,5.553944963,5.669875433,6.721380895,6.41760912,6.424897157,5.281451105,5.437563651,5.280629953,5.298655725,7.227042182,6.142471056,6.127616845,6.000740706,7.37451416,7.434922027,5.461890287,5.399329938,6.456861679,3.360526271,8.105682145,5.524850602
342,4.114785782,3.310557603,2.500450375,2.979142699,3.145911968,3.430895831,7.689782309,5.580373625,3.014253577,6.34407583,5.136910132,5.688470171,6.632476255,5.313069141,5.558501359,5.701087519,5.513108964,6.451012598,6.687816752,5.283163294,5.380217248,5.536029257,5.064468441,5.688260834,5.553875752,5.669281865,6.775463165,6.461968668,6.471450094,5.312183779,5.453160725,5.308986119,5.328529572,7.166112188,6.140881443,6.126091219,6.009876042,7.487620388,7.548202639,5.462069918,5.399310157,6.535909655,3.355982472,8.079256414,5.500021643
343,4.086676544,3.291313711,2.485652632,2.952726037,3.117844111,3.398873079,7.67966114,5.575332336,2.999556449,6.343374112,5.132281759,5.712531336,6.683828719,5.340377686,5.608139757,5.724878211,5.540176604,6.423284366,6.740908044,5.303920257,5.409725223,5.575261585,5.067298917,5.711809453,5.553569612,5.668223741,6.831379596,6.507828302,6.519636647,5.345840553,5.469388053,5.339297848,5.360351095,7.106373871,6.138547941,6.123626967,6.020080516,7.603892749,7.664645672,5.463236825,5.400132719,6.618043171,3.34995354,8.053806372,5.474582743
344,4.058152335,3.271573467,2.470647505,2.926325381,3.089297547,3.365835799,7.668385542,5.56984073,2.984785305,6.342057886,5.128493538,5.737216338,6.736468173,5.368863533,5.659852924,5.749279845,5.567818874,6.395756691,6.795329851,5.325367626,5.44029113,5.615852969,5.071495989,5.735964436,5.55302031,5.666754031,6.888699265,6.554833784,6.569032769,5.381309068,5.486039307,5.370875119,5.393445698,7.047773335,6.135562016,6.120375345,6.030400049,7.721202773,7.782246677,5.465421862,5.401828816,6.701181952,3.342690547,8.029246048,5.448718933
345,4.029583533,3.25168039,2.455607187,2.9001532,3.0605838,3.332284637,7.656218517,5.564025172,2.970217386,6.340389642,5.125448904,5.762240225,6.78999856,5.39781162,5.712541836,5.774036269,5.595596006,6.368461868,6.850672698,5.347063739,5.471279377,5.657175541,5.076723437,5.760465052,5.552221616,5.664925705,6.946991252,6.60263088,6.619214412,5.417476965,5.502908155,5.403027916,5.42713878,6.990256684,6.132015136,6.116487608,6.039880562,7.837421989,7.899001206,5.468655882,5.404429638,6.783245723,3.334444561,8.005489473,5.422615245
346,4.00134052,3.231977995,2.440703869,2.874421961,3.032014392,3.298720241,7.643423065,5.558012029,2.956129935,6.338631871,5.123051291,5.787318047,6.844023825,5.426506888,5.76510747,5.798891332,5.623068231,6.341432196,6.906527107,5.368566932,5.502054371,5.698601432,5.08264504,5.785050569,5.551167297,5.66279173,7.005824635,6.650865351,6.669757529,5.453231885,5.51978827,5.435066219,5.460755744,6.933770022,6.127998765,6.112115011,6.047567976,7.950421928,8.012904813,5.472969737,5.407966376,6.862154212,3.325466654,7.982450677,5.396456708
347,3.973793676,3.212809799,2.426109745,2.849344132,3.003900848,3.265643258,7.630262189,5.551927666,2.942800194,6.337047065,5.121204133,5.812164854,6.898147911,5.454234275,5.816450804,5.823588882,5.649795781,6.31469997,6.962483604,5.389435544,5.531980521,5.739502775,5.088924579,5.809460254,5.549851122,5.660405078,7.064768492,6.699182962,6.720238073,5.487461469,5.536473322,5.466300012,5.493621991,6.878259452,6.123604371,6.10740881,6.052508213,8.058074118,8.121953051,5.47839428,5.412470221,6.935827142,3.316007895,7.960043689,5.370428353
